,House 10,House 11,House 12,House 16,House 2,House 20,House 4,House 5,House 6,House 8
12:15 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:30 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:45 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:00 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:15 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:30 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:45 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:00 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:15 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:30 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:45 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:00 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:15 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:30 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:45 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:00 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:15 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:30 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:45 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:00 AM,0.0,,0.0,0.004,0.0,0.008,0.012,0.012,0.008,0.016
5:15 AM,0.04,,0.02,0.044000000000000004,0.032,0.06,0.064,0.068,0.06,0.064
5:30 AM,0.08800000000000001,,0.055999999999999994,0.10800000000000001,0.08,0.12,0.136,0.14,0.128,0.136
5:45 AM,0.17600000000000002,,0.092,0.204,0.11599999999999999,0.204,0.228,0.24,0.22399999999999998,0.23199999999999998
6:00 AM,0.28,,0.12,0.35600000000000004,0.156,0.316,0.35200000000000004,0.36,0.34,0.348
6:15 AM,0.43200000000000005,,0.192,0.54,0.316,0.47600000000000003,0.536,0.54,0.512,0.528
6:30 AM,0.608,,0.36,0.752,0.46399999999999997,0.6759999999999999,0.7559999999999999,0.7559999999999999,0.7240000000000001,0.732
6:45 AM,0.82,,0.504,1.012,0.604,0.904,1.02,1.02,0.9840000000000001,0.992
7:00 AM,1.044,,0.728,1.276,0.7559999999999999,1.148,1.2919999999999998,1.288,1.252,1.252
7:15 AM,1.256,,0.9359999999999999,1.548,0.888,1.38,1.548,1.548,1.5,1.504
7:30 AM,1.48,,1.1320000000000001,1.84,1.04,1.6159999999999999,1.82,1.8159999999999998,1.764,1.7719999999999998
7:45 AM,1.6880000000000002,,1.296,2.1319999999999997,1.176,1.8559999999999999,2.072,2.064,2.016,2.024
8:00 AM,1.876,,1.444,2.404,1.3,2.06,2.312,2.3,2.24,2.252
8:15 AM,2.092,,1.6,2.6519999999999997,1.44,2.2880000000000003,2.5639999999999996,2.552,2.488,2.492
8:30 AM,2.336,,1.788,2.912,1.5959999999999999,2.532,2.832,2.824,2.752,2.784
8:45 AM,2.536,,1.936,3.156,1.74,2.784,3.108,3.092,3.0,3.0239999999999996
9:00 AM,2.668,,2.032,3.3680000000000003,2.392,2.892,3.228,3.236,3.1519999999999997,3.1719999999999997
9:15 AM,2.9760000000000004,,2.2640000000000002,3.6,2.7239999999999998,3.2439999999999998,3.636,3.636,3.52,3.54
9:30 AM,3.188,,2.42,3.812,2.908,3.472,3.872,3.8560000000000003,3.748,3.7960000000000003
9:45 AM,3.3560000000000003,,2.552,3.988,3.0839999999999996,3.6839999999999997,4.092,4.084,3.972,4.012
10:00 AM,3.508,,2.6519999999999997,4.132,3.2239999999999998,3.864,4.284,4.276,4.144,4.196000000000001
10:15 AM,3.6519999999999997,,2.76,4.312,3.344,4.004,4.44,4.4319999999999995,4.316,4.36
10:30 AM,3.7680000000000002,,2.8560000000000003,4.4319999999999995,3.452,4.132,4.588,4.572,4.44,4.5
10:45 AM,3.8760000000000003,,2.932,4.5280000000000005,3.572,4.26,4.728,4.72,4.58,4.628
11:00 AM,3.968,,3.34,4.6160000000000005,3.9360000000000004,4.34,4.78,4.808,4.676,4.744
11:15 AM,4.044,,3.812,4.668,4.38,4.4239999999999995,4.776,4.8919999999999995,4.752,4.816
11:30 AM,4.112,,4.04,4.76,4.732,4.492,4.78,5.0,4.776,4.916
