,House 11,House 12,House 16,House 2,House 20,House 3,House 4,House 6,House 8
12:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:30 AM,0.008,0.0,0.012,0.0,0.008,0.0,0.012,0.012,0.016
5:45 AM,0.044000000000000004,0.024,0.068,0.044000000000000004,0.06,0.024,0.068,0.064,0.07200000000000001
6:00 AM,0.124,0.06,0.16,0.08,0.14800000000000002,0.068,0.16399999999999998,0.16,0.16399999999999998
6:15 AM,0.252,0.11199999999999999,0.308,0.16,0.28800000000000003,0.156,0.324,0.308,0.316
6:30 AM,0.424,0.204,0.508,0.348,0.47200000000000003,0.284,0.536,0.516,0.52
6:45 AM,0.612,0.364,0.732,0.48,0.684,0.4,0.772,0.748,0.748
7:00 AM,0.828,0.516,0.988,0.616,0.9159999999999999,0.516,1.04,1.004,1.004
7:15 AM,1.06,0.7759999999999999,1.256,0.764,1.1640000000000001,0.64,1.3159999999999998,1.276,1.276
7:30 AM,1.304,1.0,1.544,0.92,1.432,0.7759999999999999,1.6159999999999999,1.568,1.568
7:45 AM,1.556,1.204,1.848,1.088,1.7080000000000002,0.8959999999999999,1.92,1.868,1.868
8:00 AM,1.796,1.3880000000000001,2.136,1.24,1.972,1.032,2.224,2.156,2.16
8:15 AM,2.028,1.56,2.404,1.38,2.224,1.1440000000000001,2.504,2.432,2.428
8:30 AM,2.26,1.74,2.6839999999999997,1.524,2.48,1.26,2.7760000000000002,2.696,2.7039999999999997
8:45 AM,2.492,1.916,2.9560000000000004,1.6680000000000001,2.728,1.38,3.0639999999999996,2.972,2.9760000000000004
9:00 AM,2.696,2.064,3.196,1.7919999999999998,2.944,1.504,3.304,3.216,3.22
9:15 AM,2.88,2.2119999999999997,3.424,1.9080000000000001,3.1519999999999997,1.5959999999999999,3.528,3.424,3.444
9:30 AM,3.08,2.352,3.6639999999999997,2.036,3.3560000000000003,1.7,3.772,3.6639999999999997,3.676
9:45 AM,3.264,2.488,3.8680000000000003,2.148,3.56,1.7919999999999998,3.972,3.872,3.892
10:00 AM,3.432,2.62,4.08,2.248,3.7319999999999998,1.8840000000000001,4.18,4.064,4.1
10:15 AM,3.576,2.72,4.24,3.2,3.884,2.256,4.36,4.236000000000001,4.263999999999999
10:30 AM,3.72,2.832,4.408,3.3680000000000003,4.048,2.7439999999999998,4.532,4.396,4.42
10:45 AM,3.852,2.924,4.5680000000000005,3.48,4.18,3.216,4.68,4.5360000000000005,4.588
11:00 AM,3.944,3.392,4.684,3.92,4.284,3.6239999999999997,4.772,4.672,4.7
11:15 AM,4.02,3.864,4.752,4.3839999999999995,4.368,3.952,4.772,4.744,4.763999999999999
11:30 AM,4.0680000000000005,4.016,4.82,4.736000000000001,4.44,4.088,4.78,4.78,4.856
11:45 AM,4.144,4.14,4.9,4.78,4.52,4.148,4.784,4.78,4.936
12:00 PM,4.164,4.104,4.94,4.776,4.52,4.144,4.78,4.78,4.948
