,House 11,House 12,House 16,House 2,House 20,House 3,House 4,House 6,House 8
12:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:45 AM,0.0,0.008,0.036000000000000004,0.0,0.032,0.0,0.0,0.0,0.04
6:00 AM,0.0,0.068,0.20800000000000002,0.0,0.16,0.0,0.0,0.0,0.212
6:15 AM,0.06,0.156,0.41200000000000003,0.14800000000000002,0.344,0.128,0.264,0.276,0.42
6:30 AM,0.168,0.264,0.596,0.4,0.532,0.344,0.6,0.616,0.5920000000000001
6:45 AM,0.268,0.4,0.72,0.516,0.6679999999999999,0.428,0.748,0.728,0.728
7:00 AM,0.36,0.528,0.932,0.652,0.8640000000000001,0.544,0.96,0.94,0.9359999999999999
7:15 AM,0.484,0.552,0.924,0.624,0.856,0.524,0.956,0.932,0.9359999999999999
7:30 AM,0.696,0.8240000000000001,1.3,0.804,1.192,0.664,1.3359999999999999,1.308,1.304
7:45 AM,1.068,1.244,1.916,1.124,1.78,0.9359999999999999,1.996,1.944,1.936
8:00 AM,1.5119999999999998,1.38,2.128,1.236,1.976,1.036,2.2119999999999997,2.1519999999999997,2.144
8:15 AM,1.412,1.504,2.316,1.3359999999999999,2.144,1.112,2.404,2.34,2.336
8:30 AM,1.08,1.52,2.344,1.3359999999999999,2.168,1.1159999999999999,2.424,2.36,2.352
8:45 AM,1.3159999999999998,1.892,2.924,1.64,2.7,1.3719999999999999,3.012,2.94,2.94
9:00 AM,1.26,2.168,3.352,1.8719999999999999,3.092,1.556,3.452,3.3680000000000003,3.364
9:15 AM,1.112,2.2319999999999998,3.46,1.9280000000000002,3.1919999999999997,1.608,3.552,3.464,3.472
9:30 AM,1.188,2.408,3.736,2.084,3.44,1.74,3.812,3.74,3.748
9:45 AM,1.94,2.468,3.8360000000000003,2.164,3.548,1.804,3.928,3.832,3.8480000000000003
10:00 AM,2.728,2.656,4.112,2.316,3.824,1.9480000000000002,4.212,4.1160000000000005,4.136
10:15 AM,2.6639999999999997,2.7760000000000002,4.328,0.8079999999999999,4.0360000000000005,2.272,4.4239999999999995,4.312,4.336
10:30 AM,3.648,2.8360000000000003,4.416,3.0239999999999996,4.112,2.748,4.508,4.408,4.436
10:45 AM,3.44,2.884,4.492,3.488,4.192,3.196,4.604,4.488,4.52
11:00 AM,3.1519999999999997,3.36,4.688,3.948,4.368,3.6639999999999997,4.768,4.668,4.72
11:15 AM,2.616,3.892,4.796,4.42,4.46,3.9960000000000004,4.763999999999999,4.756,4.816
11:30 AM,3.2439999999999998,4.032,4.843999999999999,4.732,4.524,4.12,4.752,4.744,4.86
11:45 AM,3.668,4.136,4.9639999999999995,4.772,4.636,4.252,4.772,4.776,4.98
12:00 PM,4.18,4.12,4.912,4.763999999999999,4.632,4.232,4.768,4.752,4.928
12:15 PM,4.268,4.16,4.9719999999999995,4.763999999999999,4.644,4.268,4.76,4.763999999999999,4.988
