,House 11,House 12,House 16,House 2,House 20,House 3,House 4,House 5,House 6,House 8
12:15 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:30 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:45 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:00 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:15 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:30 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:45 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:00 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:15 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:30 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:45 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:00 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:15 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:30 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:45 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:00 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:15 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:30 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:45 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:00 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:15 AM,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:30 AM,0.02,,0.027999999999999997,0.016,0.027999999999999997,0.008,0.027999999999999997,0.032,0.027999999999999997,0.032
5:45 AM,0.052000000000000005,,0.08800000000000001,0.052000000000000005,0.07200000000000001,0.044000000000000004,0.08800000000000001,0.092,0.08,0.08800000000000001
6:00 AM,0.036000000000000004,,0.055999999999999994,0.04,0.052000000000000005,0.036000000000000004,0.055999999999999994,0.064,0.052000000000000005,0.06
6:15 AM,0.064,,0.096,0.068,0.08800000000000001,0.055999999999999994,0.092,0.1,0.092,0.096
6:30 AM,0.184,,0.23600000000000002,0.172,0.21600000000000003,0.14800000000000002,0.24,0.244,0.23199999999999998,0.244
6:45 AM,0.188,,0.24,0.196,0.22,0.16,0.24,0.248,0.228,0.24
7:00 AM,0.28800000000000003,,0.36,0.3,0.336,0.252,0.364,0.368,0.35200000000000004,0.368
7:15 AM,0.32799999999999996,,0.41200000000000003,0.336,0.38,0.284,0.424,0.424,0.408,0.41600000000000004
7:30 AM,0.628,,0.772,0.6,0.748,0.512,0.8079999999999999,0.7879999999999999,0.772,0.768
7:45 AM,1.32,,1.564,0.9279999999999999,1.44,0.8,1.6280000000000001,1.608,1.5959999999999999,1.608
8:00 AM,1.244,,1.46,1.004,1.3319999999999999,0.852,1.5119999999999998,1.48,1.472,1.508
8:15 AM,0.98,,1.1520000000000001,0.868,1.04,0.708,1.176,1.168,1.16,1.1840000000000002
8:30 AM,0.612,,0.7120000000000001,0.588,0.64,0.488,0.7240000000000001,0.716,0.708,0.7440000000000001
8:45 AM,0.64,,0.74,0.47200000000000003,0.652,0.408,0.7559999999999999,0.768,0.7559999999999999,0.7959999999999999
9:00 AM,2.46,,2.964,1.6840000000000002,2.7960000000000003,1.416,3.04,3.0,2.964,2.9760000000000004
9:15 AM,2.8160000000000003,,3.4560000000000004,2.176,3.2760000000000002,1.676,3.516,3.472,3.3960000000000004,3.384
9:30 AM,3.532,,4.272,3.324,3.992,2.184,4.288,4.343999999999999,4.196000000000001,4.252
9:45 AM,2.068,,2.396,1.692,2.224,1.368,2.436,2.484,2.38,2.44
10:00 AM,3.932,,4.588,3.352,4.324,2.404,4.343999999999999,4.548,4.376,4.596
10:15 AM,3.5839999999999996,,4.312,3.3160000000000003,4.008,2.3280000000000003,4.3,4.3919999999999995,4.252,4.36
10:30 AM,3.92,,4.752,3.668,4.412,2.98,4.744,4.836,4.696000000000001,4.744
10:45 AM,4.132,,4.8839999999999995,3.884,4.64,3.596,4.688,4.908,4.688,4.908
11:00 AM,2.356,,2.8760000000000003,2.748,2.964,2.476,2.912,2.944,2.7960000000000003,2.78
11:15 AM,4.092,,4.544,4.212,4.388,4.0,4.348,4.544,4.32,4.4719999999999995
11:30 AM,3.9760000000000004,,4.26,3.98,4.152,3.86,4.0360000000000005,4.256,4.084,4.276
