,House 11,House 12,House 16,House 2,House 20,House 3,House 4,House 6,House 8
12:15 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
12:30 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
12:45 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
1:00 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
1:15 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
1:30 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
1:45 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2:00 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2:15 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2:30 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2:45 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
3:00 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
3:15 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
3:30 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
3:45 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
4:00 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
4:15 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
4:30 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
4:45 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
5:00 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
5:15 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
5:30 AM,0.012,0.0,,0.008,0.016,0.0,0.016,0.016,0.024
5:45 AM,0.052000000000000005,0.032,,0.044000000000000004,0.068,0.032,0.08,0.076,0.08
6:00 AM,0.136,0.055999999999999994,,0.08,0.156,0.064,0.18,0.17600000000000002,0.17600000000000002
6:15 AM,0.256,0.092,,0.14800000000000002,0.29600000000000004,0.14800000000000002,0.332,0.32,0.32799999999999996
6:30 AM,0.436,0.21600000000000003,,0.316,0.484,0.264,0.552,0.528,0.532
6:45 AM,0.632,0.364,,0.47200000000000003,0.696,0.38799999999999996,0.7959999999999999,0.768,0.764
7:00 AM,0.8640000000000001,0.54,,0.624,0.9520000000000001,0.52,1.08,1.044,1.044
7:15 AM,1.104,0.836,,0.784,1.216,0.648,1.3719999999999999,1.3319999999999999,1.3319999999999999
7:30 AM,1.3719999999999999,1.056,,0.9520000000000001,1.504,0.7879999999999999,1.7,1.6440000000000001,1.652
7:45 AM,1.64,1.264,,1.1159999999999999,1.7919999999999998,0.932,2.02,1.964,1.96
8:00 AM,1.9,1.464,,1.28,2.076,1.064,2.34,2.26,2.272
8:15 AM,2.156,1.6640000000000001,,1.444,2.36,1.204,2.6439999999999997,2.572,2.58
8:30 AM,2.392,1.84,,1.5959999999999999,2.62,1.324,2.94,2.8480000000000003,2.86
8:45 AM,2.616,2.008,,1.7280000000000002,2.852,1.44,3.2,3.116,3.1239999999999997
9:00 AM,2.832,2.168,,1.86,3.088,1.5519999999999998,3.46,3.3560000000000003,3.3760000000000003
9:15 AM,3.02,2.316,,1.984,3.2880000000000003,1.6480000000000001,3.688,3.572,3.6039999999999996
9:30 AM,3.196,2.436,,2.088,3.48,1.732,3.8960000000000004,3.78,3.804
9:45 AM,3.36,2.568,,2.1919999999999997,3.668,1.824,4.096,3.9760000000000004,4.0
10:00 AM,3.52,2.6839999999999997,,2.3,3.844,1.9280000000000002,4.3,4.16,4.196000000000001
10:15 AM,3.6519999999999997,2.7760000000000002,,3.02,3.98,2.3,4.448,4.316,4.348
10:30 AM,3.772,2.8760000000000003,,3.4160000000000004,4.1080000000000005,2.7880000000000003,4.596,4.444,4.48
10:45 AM,3.864,2.94,,3.516,4.196000000000001,3.2239999999999998,4.704,4.548,4.588
11:00 AM,3.968,3.3960000000000004,,3.932,4.316,3.6319999999999997,4.768,4.656000000000001,4.692
11:15 AM,4.04,3.8760000000000003,,4.3919999999999995,4.4,3.9560000000000004,4.772,4.748,4.796
11:30 AM,4.1080000000000005,4.044,,4.74,4.4639999999999995,4.096,4.772,4.772,4.876
11:45 AM,4.164,4.088,,4.763999999999999,4.5280000000000005,4.144,4.768,4.772,4.948
12:00 PM,4.236000000000001,4.16,,4.768,4.6080000000000005,4.22,4.768,4.763999999999999,4.988
12:15 PM,4.256,4.176,,4.768,4.6080000000000005,4.216,4.768,4.768,4.996
12:30 PM,4.26,4.18,,4.763999999999999,4.596,4.224,4.763999999999999,4.772,4.992
12:45 PM,4.263999999999999,4.18,,4.776,4.612,4.24,4.776,4.768,4.996
1:00 PM,4.236000000000001,4.168,,4.772,4.588,4.2,4.768,4.776,4.996
1:15 PM,4.232,4.152,,4.772,4.592,4.196000000000001,4.776,4.768,4.988
1:30 PM,4.176,4.1,,4.776,4.5360000000000005,4.128,4.776,4.78,4.948
1:45 PM,4.124,4.04,,4.776,4.4719999999999995,4.084,4.78,4.768,4.88
2:00 PM,4.044,3.972,,4.768,4.4,4.016,4.78,4.76,4.803999999999999
2:15 PM,3.948,3.872,,4.688,4.263999999999999,3.912,4.752,4.628,4.676
2:30 PM,3.844,3.772,,4.58,4.164,3.824,4.656000000000001,4.512,4.564
2:45 PM,3.708,3.6519999999999997,,4.44,4.04,3.7039999999999997,4.5,4.38,4.42
3:00 PM,3.58,3.5239999999999996,,4.292,3.8960000000000004,3.5839999999999996,4.348,4.228,4.256
3:15 PM,3.424,3.3760000000000003,,4.136,3.76,3.448,4.184,4.08,4.096
