,House 11,House 12,House 16,House 2,House 20,House 3,House 4,House 6,House 8
12:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:30 AM,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.004
5:45 AM,0.024,0.012,0.044000000000000004,0.024,0.04,0.012,0.044000000000000004,0.04,0.048
6:00 AM,0.1,0.044000000000000004,0.128,0.064,0.12,0.052000000000000005,0.132,0.124,0.132
6:15 AM,0.20800000000000002,0.084,0.264,0.124,0.248,0.11599999999999999,0.272,0.26,0.272
6:30 AM,0.37200000000000005,0.168,0.444,0.28,0.42,0.228,0.46799999999999997,0.44799999999999995,0.46
6:45 AM,0.564,0.332,0.6759999999999999,0.428,0.632,0.35200000000000004,0.7120000000000001,0.684,0.688
7:00 AM,0.78,0.47200000000000003,0.9279999999999999,0.58,0.8640000000000001,0.47600000000000003,0.972,0.94,0.9440000000000001
7:15 AM,1.032,0.752,1.228,0.74,1.1440000000000001,0.612,1.288,1.244,1.248
7:30 AM,1.296,0.992,1.536,0.912,1.432,0.7559999999999999,1.608,1.5719999999999998,1.564
7:45 AM,1.5519999999999998,1.204,1.8519999999999999,1.0759999999999998,1.72,0.892,1.9280000000000002,1.8719999999999999,1.876
8:00 AM,1.8159999999999998,1.4040000000000001,2.164,1.24,2.012,1.028,2.244,2.184,2.1919999999999997
8:15 AM,2.06,1.5959999999999999,2.464,1.4040000000000001,2.2880000000000003,1.1640000000000001,2.556,2.48,2.492
8:30 AM,2.312,1.784,2.764,1.564,2.572,1.296,2.864,2.784,2.7960000000000003
8:45 AM,2.544,1.96,3.048,1.7080000000000002,2.832,1.4240000000000002,3.148,3.0639999999999996,3.076
9:00 AM,2.748,2.128,3.304,1.844,3.068,1.54,3.42,3.32,3.3480000000000003
9:15 AM,2.96,2.2880000000000003,3.556,1.98,3.292,1.652,3.668,3.572,3.592
9:30 AM,3.1439999999999997,2.424,3.772,2.1,3.4960000000000004,1.7480000000000002,3.892,3.784,3.812
9:45 AM,3.3160000000000003,2.552,3.9760000000000004,2.2,3.688,1.8359999999999999,4.096,3.98,4.02
10:00 AM,3.46,2.66,4.168,2.3040000000000003,3.864,1.94,4.284,4.168,4.208
10:15 AM,3.608,2.7760000000000002,4.336,3.2119999999999997,4.016,2.316,4.46,4.343999999999999,4.388
10:30 AM,3.7119999999999997,2.872,4.488,3.472,4.168,2.82,4.6160000000000005,4.492,4.532
10:45 AM,3.824,2.952,4.6,3.556,4.252,3.2760000000000002,4.72,4.6080000000000005,4.644
11:00 AM,3.96,3.432,4.76,4.032,4.412,3.74,4.776,4.752,4.816
11:15 AM,4.064,3.94,4.864,4.504,4.512,4.072,4.776,4.776,4.908
11:30 AM,4.152,4.1080000000000005,4.944,4.776,4.5680000000000005,4.184,4.772,4.776,4.976
11:45 AM,4.144,4.112,4.968,4.776,4.6,4.224,4.776,4.78,4.996
12:00 PM,4.148,4.14,4.996,4.78,4.648,4.272,4.78,4.776,5.008
