,House 10,House 11,House 12,House 16,House 2,House 20,House 3,House 4,House 5,House 6,House 8
12:15 AM,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:30 AM,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:45 AM,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:00 AM,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:15 AM,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:30 AM,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:45 AM,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:00 AM,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:15 AM,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:30 AM,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:45 AM,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:00 AM,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:15 AM,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:30 AM,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:45 AM,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:00 AM,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:15 AM,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:30 AM,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:45 AM,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:00 AM,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:15 AM,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:30 AM,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:45 AM,0.0,,,0.012,0.004,0.008,0.0,0.012,0.012,0.008,0.016
6:00 AM,0.02,,,0.036000000000000004,0.036000000000000004,0.04,0.024,0.04,0.044000000000000004,0.044000000000000004,0.044000000000000004
6:15 AM,0.036000000000000004,,,0.08,0.068,0.07200000000000001,0.04,0.076,0.08,0.07200000000000001,0.08
6:30 AM,0.036000000000000004,,,0.068,0.052000000000000005,0.06,0.044000000000000004,0.068,0.07200000000000001,0.064,0.068
6:45 AM,0.22399999999999998,,,0.312,0.264,0.292,0.21600000000000003,0.32,0.324,0.312,0.32
7:00 AM,0.32,,,0.452,0.384,0.42,0.324,0.46,0.46399999999999997,0.444,0.456
7:15 AM,0.456,,,0.588,0.504,0.5479999999999999,0.428,0.604,0.6,0.588,0.596
7:30 AM,0.736,,,0.924,0.72,0.856,0.612,0.9520000000000001,0.9440000000000001,0.9279999999999999,0.932
7:45 AM,1.036,,,1.288,1.004,1.192,0.828,1.3319999999999999,1.328,1.3,1.3119999999999998
8:00 AM,0.856,,,1.1159999999999999,0.8959999999999999,1.024,0.752,1.1440000000000001,1.14,1.1159999999999999,1.12
8:15 AM,0.748,,,1.012,0.884,0.948,0.7440000000000001,1.036,1.032,1.008,1.02
8:30 AM,0.856,,,1.128,1.0,1.048,0.848,1.176,1.168,1.148,1.1440000000000001
8:45 AM,0.7559999999999999,,,1.036,0.9520000000000001,0.968,0.804,1.072,1.068,1.044,1.048
9:00 AM,1.6840000000000002,,,2.112,1.6680000000000001,1.8319999999999999,1.42,2.048,2.1,2.088,2.156
9:15 AM,0.868,,,1.1520000000000001,1.036,1.048,0.872,1.172,1.18,1.156,1.172
9:30 AM,1.1640000000000001,,,1.5719999999999998,1.432,1.46,1.208,1.6119999999999999,1.6159999999999999,1.5719999999999998,1.588
9:45 AM,1.1520000000000001,,,1.54,1.4040000000000001,1.436,1.188,1.5919999999999999,1.588,1.5519999999999998,1.56
10:00 AM,0.716,,,0.988,0.9079999999999999,0.912,0.764,1.004,1.008,0.9840000000000001,1.0
10:15 AM,0.74,,,1.036,0.9520000000000001,0.9520000000000001,0.804,1.052,1.052,1.028,1.032
10:30 AM,0.308,,,0.424,0.38,0.384,0.32,0.43200000000000005,0.436,0.424,0.436
10:45 AM,0.58,,,0.8240000000000001,0.768,0.772,0.652,0.848,0.8440000000000001,0.8240000000000001,0.828
11:00 AM,1.024,,,1.4080000000000001,1.3119999999999998,1.3119999999999998,1.1079999999999999,1.452,1.44,1.412,1.42
11:15 AM,1.032,,,1.4080000000000001,1.3119999999999998,1.304,1.1079999999999999,1.46,1.4480000000000002,1.4240000000000002,1.4280000000000002
