,House 10,House 11,House 12,House 16,House 2,House 20,House 3,House 4,House 5,House 6,House 8
12:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6:00 AM,0.0,0.008,0.0,0.012,0.004,0.012,0.0,0.004,0.008,0.004,0.012
6:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6:30 AM,0.004,0.016,0.008,0.024,0.024,0.024,0.012,0.027999999999999997,0.027999999999999997,0.027999999999999997,0.032
6:45 AM,0.0,0.0,0.0,0.012,0.008,0.012,0.0,0.012,0.012,0.008,0.012
7:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7:15 AM,0.048,0.055999999999999994,0.044000000000000004,0.08,0.06,0.068,0.032,0.08,0.084,0.08,0.076
7:30 AM,0.292,0.312,0.244,0.38,0.312,0.348,0.26,0.38799999999999996,0.396,0.376,0.384
7:45 AM,0.34,0.40399999999999997,0.368,0.49200000000000005,0.46,0.456,0.38,0.504,0.504,0.49200000000000005,0.496
8:00 AM,0.452,0.516,0.452,0.616,0.556,0.568,0.47200000000000003,0.636,0.636,0.616,0.62
8:15 AM,0.64,0.716,0.616,0.86,0.768,0.7959999999999999,0.648,0.888,0.884,0.868,0.8640000000000001
8:30 AM,0.8640000000000001,0.924,0.752,1.1,0.9279999999999999,1.02,0.792,1.136,1.128,1.1079999999999999,1.1079999999999999
8:45 AM,0.86,0.956,0.84,1.148,1.04,1.06,0.88,1.1840000000000002,1.176,1.1520000000000001,1.1520000000000001
9:00 AM,1.276,1.364,1.1079999999999999,1.6440000000000001,1.3719999999999999,1.544,1.1640000000000001,1.712,1.692,1.6480000000000001,1.6440000000000001
9:15 AM,2.772,2.784,2.1319999999999997,3.3160000000000003,2.512,3.028,1.72,3.38,3.36,3.292,3.32
9:30 AM,2.58,2.5639999999999996,1.964,3.072,2.356,2.8160000000000003,1.5,3.1639999999999997,3.136,3.076,3.0839999999999996
9:45 AM,3.312,3.2760000000000002,2.508,3.9,3.012,3.6,1.8840000000000001,4.0280000000000005,3.9760000000000004,3.8960000000000004,3.928
10:00 AM,3.444,3.4160000000000004,2.608,4.06,3.12,3.7439999999999998,1.964,4.184,4.132,4.0360000000000005,4.084
10:15 AM,3.5639999999999996,3.536,2.7,4.204,3.2239999999999998,3.884,2.292,4.328,4.26,4.168,4.216
10:30 AM,3.7,3.676,2.8,4.372,3.344,4.012,2.736,4.488,4.4319999999999995,4.34,4.3919999999999995
10:45 AM,3.8160000000000003,3.7960000000000003,2.888,4.504,3.444,4.152,3.156,4.624,4.564,4.4719999999999995,4.524
11:00 AM,3.932,3.912,3.252,4.64,3.804,4.263999999999999,3.552,4.752,4.704,4.6160000000000005,4.66
11:15 AM,4.016,3.98,3.7560000000000002,4.728,4.272,4.36,3.872,4.768,4.796,4.692,4.748
