,House 10,House 11,House 12,House 16,House 2,House 20,House 3,House 4,House 5,House 6,House 8
12:15 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12:30 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12:45 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1:00 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1:15 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1:30 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1:45 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2:00 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2:15 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2:30 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2:45 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3:00 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3:15 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3:30 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3:45 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4:00 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4:15 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4:30 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4:45 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5:00 AM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5:15 AM,0.008,0.016,,0.0,0.012,0.016,0.004,0.016,0.016,0.016,
5:30 AM,0.052000000000000005,0.06,,0.0,0.07200000000000001,0.092,0.06,0.096,0.10400000000000001,0.092,
5:45 AM,0.07200000000000001,0.132,,0.012,0.11199999999999999,0.124,0.096,0.136,0.14400000000000002,0.132,
6:00 AM,0.04,0.196,,0.036000000000000004,0.07200000000000001,0.076,0.052000000000000005,0.08,0.084,0.076,
6:15 AM,0.055999999999999994,0.336,,0.08,0.096,0.1,0.07200000000000001,0.10800000000000001,0.11599999999999999,0.10800000000000001,
6:30 AM,0.17600000000000002,0.5,,0.068,0.24,0.248,0.2,0.268,0.272,0.256,
6:45 AM,0.184,0.6759999999999999,,0.312,0.26,0.264,0.21600000000000003,0.28800000000000003,0.292,0.276,
7:00 AM,0.21600000000000003,0.884,,0.452,0.28800000000000003,0.3,0.24,0.32,0.32799999999999996,0.312,
7:15 AM,0.16,1.012,,0.588,0.22399999999999998,0.228,0.188,0.248,0.256,0.24,
7:30 AM,0.16399999999999998,1.516,,0.924,0.23199999999999998,0.23600000000000002,0.188,0.256,0.26,0.248,
7:45 AM,0.332,1.868,,1.288,0.44,0.44799999999999995,0.37200000000000005,0.484,0.488,0.46799999999999997,
8:00 AM,0.436,0.948,,1.1159999999999999,0.56,0.568,0.47200000000000003,0.62,0.624,0.604,
8:15 AM,0.46799999999999997,0.5920000000000001,,1.012,0.628,0.636,0.532,0.688,0.688,0.6679999999999999,
8:30 AM,0.5,0.884,,1.128,0.628,0.636,0.532,0.708,0.708,0.688,
8:45 AM,0.6679999999999999,1.7,,1.036,0.8240000000000001,0.836,0.7,0.9279999999999999,0.9279999999999999,0.9079999999999999,
9:00 AM,0.856,2.352,,2.112,1.008,1.028,0.852,1.16,1.1640000000000001,1.1440000000000001,
9:15 AM,1.032,2.752,,1.1520000000000001,1.188,1.24,1.004,1.38,1.3840000000000001,1.3559999999999999,
9:30 AM,1.344,1.784,,1.5719999999999998,1.4680000000000002,1.5919999999999999,1.244,1.776,1.764,1.7280000000000002,
9:45 AM,1.588,2.52,,1.54,1.652,1.8,1.4040000000000001,2.016,2.032,2.0,
10:00 AM,2.008,4.12,,0.988,2.1959999999999997,2.444,1.8559999999999999,2.72,2.708,2.6319999999999997,
10:15 AM,2.844,2.588,,1.036,2.488,2.892,2.1719999999999997,3.2760000000000002,3.388,3.364,
10:30 AM,3.176,2.22,,0.424,3.0,3.608,2.608,3.96,3.984,3.86,
10:45 AM,3.168,2.8,,0.8240000000000001,3.0,3.512,2.72,3.884,3.908,3.812,
11:00 AM,3.508,3.2439999999999998,,1.4080000000000001,3.58,3.9,3.22,4.288,4.312,4.196000000000001,
11:15 AM,3.7680000000000002,3.08,,1.4080000000000001,4.148,4.184,3.6919999999999997,4.596,4.644,4.512,
