,House 11,House 12,House 16,House 2,House 20,House 3,House 4,House 6,House 8
12:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:30 AM,0.0,0.0,0.004,0.0,0.004,0.0,0.008,0.0,0.004
5:45 AM,0.032,0.012,0.048,0.008,0.044000000000000004,0.008,0.076,0.044000000000000004,0.052000000000000005
6:00 AM,0.096,0.048,0.128,0.068,0.11599999999999999,0.052000000000000005,0.192,0.124,0.136
6:15 AM,0.192,0.084,0.23600000000000002,0.12,0.22,0.11199999999999999,0.35600000000000004,0.23600000000000002,0.244
6:30 AM,0.32799999999999996,0.16,0.396,0.244,0.368,0.204,0.584,0.396,0.40399999999999997
6:45 AM,0.528,0.32,0.632,0.408,0.588,0.34,0.66,0.636,0.648
7:00 AM,0.736,0.456,0.872,0.5479999999999999,0.812,0.46,0.7120000000000001,0.888,0.888
7:15 AM,0.9840000000000001,0.7040000000000001,1.168,0.708,1.08,0.596,1.056,1.1840000000000002,1.188
7:30 AM,1.248,0.9520000000000001,1.48,0.884,1.376,0.74,1.56,1.5,1.504
7:45 AM,1.504,1.1640000000000001,1.796,1.052,1.66,0.8759999999999999,1.7719999999999998,1.8119999999999998,1.82
8:00 AM,1.768,1.364,2.104,1.22,1.9480000000000002,1.012,2.2159999999999997,2.116,2.1319999999999997
8:15 AM,2.024,0.504,2.408,1.3880000000000001,2.228,1.156,2.512,2.424,2.436
8:30 AM,2.252,,2.68,1.528,2.48,1.28,2.872,2.6919999999999997,2.7039999999999997
8:45 AM,2.44,,2.9160000000000004,1.6680000000000001,2.7119999999999997,1.396,3.176,2.932,2.948
9:00 AM,2.62,,3.12,1.776,2.888,1.484,3.3760000000000003,3.1319999999999997,3.1439999999999997
9:15 AM,2.8960000000000004,,3.448,1.96,3.2039999999999997,1.64,3.5639999999999996,3.4560000000000004,3.488
9:30 AM,3.0839999999999996,,3.688,2.1,3.424,1.76,3.8480000000000003,3.7,3.7239999999999998
9:45 AM,3.292,,3.96,2.24,3.68,1.8840000000000001,3.96,3.96,3.988
10:00 AM,3.48,,4.172,2.356,3.88,1.984,4.096,4.18,4.212
10:15 AM,3.62,,4.343999999999999,3.26,4.0360000000000005,2.344,4.343999999999999,4.343999999999999,4.38
10:30 AM,3.7560000000000002,,4.52,3.508,4.212,2.8560000000000003,4.5760000000000005,4.5280000000000005,4.552
10:45 AM,3.84,,4.624,3.576,0.004,3.2960000000000003,4.712,4.64,4.664
11:00 AM,3.928,,4.728,4.02,,3.728,4.776,4.74,4.784
11:15 AM,4.06,,4.856,4.504,,4.064,4.78,4.776,4.888
11:30 AM,4.148,,4.976,4.78,,4.272,4.772,4.78,5.0
11:45 AM,4.22,,5.004,4.776,,4.316,4.78,4.784,5.012
12:00 PM,4.28,,5.004,4.776,,4.316,4.776,4.776,5.0
12:15 PM,4.252,,4.996,4.772,,4.364,4.78,4.78,5.0
12:30 PM,4.276,,4.996,4.776,,4.4,4.768,4.768,4.992
