,House 10,House 11,House 12,House 16,House 2,House 20,House 3,House 4,House 5,House 6,House 8
12:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:15 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:45 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:00 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:15 AM,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:30 AM,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:45 AM,0.0,0.008,0.0,0.10800000000000001,0.0,0.012,0.0,0.012,0.016,0.008,0.016
6:00 AM,0.027999999999999997,0.036000000000000004,0.027999999999999997,0.128,0.044000000000000004,0.048,0.0,0.052000000000000005,0.052000000000000005,0.052000000000000005,0.052000000000000005
6:15 AM,0.092,0.10800000000000001,0.096,0.124,0.12,0.132,0.068,0.14800000000000002,0.152,0.14,0.14800000000000002
6:30 AM,0.16399999999999998,0.188,0.16,0.22,0.204,0.21600000000000003,0.168,0.24,0.248,0.23199999999999998,0.23600000000000002
6:45 AM,0.248,0.28,0.23600000000000002,0.264,0.304,0.324,0.252,0.364,0.36,0.344,0.35600000000000004
7:00 AM,0.37200000000000005,0.396,0.308,0.3,0.38799999999999996,0.452,0.32,0.496,0.5,0.47600000000000003,0.488
7:15 AM,0.716,0.72,0.5479999999999999,0.392,0.608,0.8320000000000001,0.512,0.932,0.924,0.892,0.888
7:30 AM,1.176,1.16,0.892,0.46399999999999997,0.9279999999999999,1.364,0.78,1.536,1.508,1.4680000000000002,1.4240000000000002
7:45 AM,1.8519999999999999,1.8359999999999999,1.412,0.588,1.52,1.976,1.112,2.1959999999999997,2.22,2.184,2.228
8:00 AM,1.1320000000000001,1.16,0.884,0.98,1.044,1.272,0.848,1.412,1.4080000000000001,1.38,1.4
8:15 AM,1.032,1.092,0.88,1.3880000000000001,1.1,1.216,0.9279999999999999,1.3519999999999999,1.344,1.32,1.328
8:30 AM,1.024,1.104,0.92,2.2840000000000003,1.14,1.232,0.9640000000000001,1.36,1.36,1.328,1.344
8:45 AM,1.1,1.188,1.008,1.92,1.256,1.3359999999999999,1.06,1.48,1.472,1.444,1.4480000000000002
9:00 AM,1.288,1.3880000000000001,1.156,1.7,1.4280000000000002,1.544,1.212,1.712,1.704,1.672,1.6840000000000002
9:15 AM,1.3319999999999999,1.444,1.204,1.02,1.5,1.604,1.268,1.776,1.7719999999999998,1.74,1.756
9:30 AM,1.4080000000000001,1.5319999999999998,1.3119999999999998,2.18,1.632,1.72,0.0,1.9040000000000001,1.9,0.0,1.8719999999999999
9:45 AM,1.5519999999999998,1.6840000000000002,1.432,1.8840000000000001,1.78,1.88,,2.076,2.072,,0.644
10:00 AM,1.764,1.912,1.624,2.44,1.9880000000000002,2.144,,2.332,2.32,,
10:15 AM,1.712,1.8840000000000001,1.6440000000000001,2.136,2.036,2.116,,2.3280000000000003,2.3080000000000003,,
10:30 AM,1.876,2.032,1.776,1.1520000000000001,2.2,2.276,,2.536,2.512,,
10:45 AM,2.316,2.512,2.188,1.972,2.648,2.792,,3.0039999999999996,2.9560000000000004,,
11:00 AM,2.12,2.252,2.012,1.3359999999999999,2.464,2.516,,2.76,2.7680000000000002,,
11:15 AM,1.704,1.848,1.636,2.8480000000000003,2.004,2.036,,2.2640000000000002,2.256,,
